BarCode,Part #,Product,Quantity,Code,Case,Tracking #,Set,Flag Notes,RFID
,BLACKTIELINE,Roll Black Tie Line,1,,TUB 35,,Power 'n Other,,
,FLORESCENT GAFF,Roll Florescent Gaff Tape,2,,TUB 35,,Power 'n Other,,
,White Gaff,Roll White Gaff Tape,4,,TUB 35,,Power 'n Other,,
,BLACK GAFF,Roll Black Gaff Tape,10,,TUB 35,,Power 'n Other,,
7291,PIPE12,12' Pipe (black),1,,2X 12' PIPE,,Lighting,,
7290,PIPE12,12' Pipe (black),1,,2X 12' PIPE,,Lighting,,
7521,PIPE4,4' Pipe (black),1,,2X 4' PIPE,,Lighting,,
7517,PIPE4,4' Pipe (black),1,,2X 4' PIPE,,Lighting,,
7513,PIPE3,3' Pipe,1,,2X 3' PIPE,,Lighting,,
7510,PIPE3,3' Pipe,1,,2X 3' PIPE,,Lighting,,
5401,VACUUMCLEANER,HOOVER/DEEZ - HDBJ-2000/HDBJ-3000,1,,BJ3000,,"Stage 20' x 12' x 6""",,
1355,BILJAX4X4,Biljax - 4' x 4' Staging Panel,16,,4X 4PACK STAGE DOLY,,"Stage 20' x 12' x 6""",,
,,20' x 12' BLACK Stage Carpet,1,NS,1X 20'X 12' CARPET,,"Stage 20' x 12' x 6""",Nonstock Item.,
1345,SANDBAGS,25lb sandbag,10,,SB16,,Lighting,,
6486,SANDBAG CASE,SANDBAG CASE,1,,SB16,,Lighting,,
1345,SANDBAGS,25lb sandbag,10,,SB15,,Pipe & Drape,,
6485,SANDBAG CASE,SANDBAG CASE,1,,SB15,,Pipe & Drape,,
,HANDRAIL BOLT - SHORT BLACK,HANDRAIL BOLT - SHORT BLACK,4,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
,HANDRAIL BOLT-LONG BLACK,HANDRAIL BOLT-LONG BLACK,4,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
,ALT STAIR BOLT- LONG RED,ALT STAIR BOLT- LONG RED,4,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
,STAIR BOLT -SHORT RED,STAIR BOLT -SHORT RED,4,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
5271,BLACKSUEDESKIRT8INCH,"Black Suede Skirting - 13' W x 8"" H",4,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
1634,SNAPPIN,Staging Snap Pins,24,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
1605,RUBBERFEET,Rubber Feet,24,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
1359,4INCHINSERTS,4'' Inserts,24,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
2527,TOOLBOXCASE,Staging Toolbox Case,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
1670,STAPLER,Staplers,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
3154,SPIRITLEVEL,SPIRIT LEVEL,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
3353,SPEEDWRENCH,Speed Wrench,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
3060,SKIRTCLIPBOX,Skirting Clip Box,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
1543,NEEDLENOSEPLIER,Needle Nose Pliers,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
3352,DOUBLEOPENENDWRENCH,Double Open End Wrench,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
1449,CWRENCH,C-Wrench,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
1668,ALLENKEY,Staging Allen Keys,1,,BLUE LEGS FLOATER,,"Stage 20' x 12' x 6""",,
1377,50LBBASE,50lb lighting base,2,,2X 50LB BASE,,Lighting,,
1594,QUADBOX,Quad box,2,,AC109,,Lighting,,
1590,POWERSTRIP,Power Strip,2,,AC109,,Lighting,,
3108,DPLUG,D-Plug,2,,AC109,,Lighting,,
1469,CUBETAP,Cube Tap / edison,8,,AC109,,Lighting,,
1371,AC50FT,AC Cable 50',6,,AC109,,Lighting,,
1339,AC25FT,AC Cable 25',6,,AC109,,Lighting,,
1316,AC15FT/10FT,AC Cable 10'-15',6,,AC109,,Lighting,,
1283,AC100FT,AC Cable 100',2,,AC109,,Lighting,,
2697,ACCABLECASE,AC Cable Case,1,,AC109,,Lighting,,
6822,LADDER10,10' Ladder,1,,1X 10' LADDER,,Power 'n Other,,
2259,LADDER12,12' Ladder,1,,1X 12' LADDER,,Power 'n Other,,
5649,TABLE5FTFOLDING,5' Folding Table,1,,1X 5' TABLE,,Power 'n Other,,
4563,SCENESETTER48,Elation - Scene Setter 48,1,,SS48,,Lighting,,
8445,6FTFOLDINGTABLE,6' Folding Table,1,,1X 6' TABLE,,Power 'n Other,,
3775,RUBBERMAT,"18"" x 30"" Carpeted Rubber Mat",20,,20X RUBBER MATS,,Power 'n Other,,
1584,PIPEMASKING,Pipe Masking material (Black),6,,1527,,Lighting,,
5084,DMX5FT,5' DMX - 5 Pin Lighting Cable,16,,1527,,Lighting,,
